,City,Latitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
0,Caravelas,-17.73,90.41,54.0,0.0,3.87
1,Jamestown,-33.21,76.01,26.0,100.0,9.75
2,Talakan,50.29,24.35,55.0,0.0,0.31
3,Nova Venecia,-18.71,85.73,64.0,42.0,3.36
4,Arraial Do Cabo,-22.97,81.52,74.0,20.0,17.22
5,Cabo San Lucas,22.89,68.77,30.0,75.0,5.82
6,Iqaluit,63.75,24.39,79.0,75.0,8.05
8,San Vicente De Canete,-13.08,69.53,86.0,97.0,8.93
9,Nikolskoye,59.7,55.92,46.0,20.0,13.42
10,Namibe,-15.19,75.2,41.0,20.0,9.17
11,Mar Del Plata,-46.43,58.01,43.0,60.0,18.77
12,Mahebourg,-20.41,80.4,69.0,40.0,4.7
13,Bluff,-23.58,68.27,78.0,0.0,9.06
14,Santa Maria,-29.69,66.2,88.0,0.0,2.24
16,Hamilton,32.3,69.55,60.0,20.0,11.41
17,Punta Arenas,-53.16,46.18,81.0,20.0,24.16
19,Ilhabela,-23.78,75.83,76.0,0.0,11.59
20,Bambous Virieux,-20.34,80.47,69.0,40.0,4.7
21,Nichinan,31.65,62.4,77.0,40.0,10.29
22,Puerto Ayora,-0.74,78.91,88.0,40.0,8.05
23,Haines Junction,60.75,24.17,51.0,24.0,7.78
24,Irshava,48.32,67.32,13.0,0.0,15.66
25,Geraldton,49.72,35.6,64.0,20.0,2.24
26,Albany,42.65,63.34,68.0,75.0,19.46
27,Bredasdorp,-34.53,71.55,44.0,100.0,19.46
28,Ambon,47.55,72.7,41.0,0.0,4.7
29,Ushuaia,-54.81,40.82,81.0,75.0,29.97
30,Muros,42.77,64.65,72.0,40.0,12.75
31,Sao Joao Da Barra,-21.64,82.4,65.0,20.0,4.7
32,Kavieng,-2.57,83.39,74.0,100.0,8.55
33,Tuktoyaktuk,69.44,8.33,94.0,81.0,12.77
34,Kapaa,22.08,72.97,73.0,75.0,17.22
35,Half Moon Bay,37.46,51.66,82.0,1.0,2.89
36,Rikitea,-23.12,78.35,74.0,3.0,7.0
38,Tual,-5.67,85.19,74.0,41.0,11.77
39,Seoul,37.57,54.07,62.0,1.0,1.3
40,Srednekolymsk,67.46,4.55,87.0,45.0,3.11
41,Manbij,36.53,50.0,76.0,75.0,11.41
42,Provideniya,64.42,8.51,59.0,100.0,3.85
43,Kaitangata,-46.28,52.0,86.0,100.0,1.01
44,Isla Vista,34.41,53.47,100.0,90.0,0.47
45,Hobart,-42.88,44.06,87.0,0.0,3.36
46,Buala,-8.15,80.51,84.0,100.0,14.09
47,Dodoma,-6.18,82.31,49.0,100.0,2.86
48,Avarua,-21.21,73.4,83.0,100.0,9.17
50,Cherskiy,68.75,-3.56,93.0,2.0,7.36
51,Pomichna,48.24,51.53,40.0,97.0,13.76
52,Cervo,-22.19,73.4,56.0,0.0,2.24
53,Roma,41.89,68.22,37.0,0.0,11.41
54,Saint-Philippe,45.36,53.49,93.0,90.0,3.36
55,Mount Isa,-20.73,71.6,53.0,0.0,6.93
56,Luderitz,-26.65,66.2,63.0,72.0,9.17
57,Lashio,22.93,77.27,35.0,0.0,2.08
58,Hilo,19.71,67.82,88.0,90.0,5.82
59,Kauhajoki,62.43,52.25,57.0,75.0,12.75
60,Tasiilaq,65.61,39.2,84.0,78.0,4.7
61,Ampanihy,-24.69,72.41,72.0,16.0,13.67
62,Vaini,15.34,88.72,35.0,5.0,9.17
63,Butte,46.01,42.42,74.0,1.0,5.82
64,Iquitos,-3.75,42.8,319.0,40.0,2.24
65,Natal,-5.81,91.4,55.0,75.0,10.29
66,Szentlorinckata,47.52,72.01,26.0,0.0,13.87
67,Bontang,0.12,75.83,91.0,89.0,2.26
68,Cape Town,-33.93,65.91,82.0,20.0,12.75
69,Kahului,20.89,68.04,73.0,1.0,13.87
70,Butaritari,3.07,82.67,77.0,100.0,15.46
71,Talnakh,69.49,-5.81,76.0,0.0,4.47
72,Qaanaaq,77.48,-14.89,83.0,97.0,4.79
73,Ozorkow,51.96,70.02,19.0,0.0,10.29
74,Sao Gabriel Da Cachoeira,-0.13,78.8,88.0,75.0,3.36
75,Stavern,59.0,65.35,27.0,0.0,8.05
76,Port Elizabeth,39.31,68.47,82.0,75.0,8.05
77,Barrow,-38.31,71.87,31.0,0.0,2.17
78,Mataura,-46.19,52.0,95.0,100.0,0.81
79,Puerto Leguizamo,-0.19,80.87,85.0,98.0,2.73
80,Pangnirtung,66.15,14.0,85.0,90.0,6.93
84,Hermanus,-34.42,68.45,61.0,100.0,7.0
85,Longhua,29.21,78.89,66.0,0.0,5.79
86,Taoudenni,22.68,96.53,8.0,0.0,21.27
87,Maba,24.68,72.77,89.0,37.0,1.92
88,Saint Anthony,43.97,36.21,80.0,1.0,3.36
89,Khatanga,71.98,-5.36,96.0,48.0,3.29
90,Piacabucu,-10.41,89.51,57.0,92.0,7.52
91,Pasni,25.26,83.93,45.0,0.0,7.78
93,Gumla,23.04,73.85,66.0,98.0,6.98
94,Edson,53.59,39.2,100.0,90.0,6.93
95,Kloulklubed,7.04,78.8,88.0,75.0,6.93
96,Leningradskiy,69.38,-2.83,95.0,3.0,7.0
97,Longyearbyen,78.22,37.4,86.0,75.0,2.24
98,Atambua,-9.11,83.39,71.0,7.0,11.07
99,San Borja,-14.86,86.99,62.0,100.0,1.05
100,Temerloh,3.45,79.43,81.0,36.0,1.59
101,Acari,-6.44,89.51,51.0,100.0,4.99
102,Carlyle,49.63,48.2,49.0,90.0,16.11
103,Nyrob,60.74,35.69,92.0,99.0,4.56
105,Kindia,10.05,99.77,24.0,12.0,6.58
106,Gat,14.69,86.0,40.0,0.0,12.75
107,Pontal Do Parana,-25.67,72.72,88.0,0.0,2.24
108,Dauphin,51.15,48.2,44.0,20.0,9.17
109,Smithers,54.78,30.2,86.0,90.0,3.36
110,Xuddur,4.12,93.11,36.0,60.0,5.64
111,East London,-33.02,78.8,69.0,0.0,11.41
113,Biak,-0.91,66.65,99.0,100.0,1.7
114,Lavrentiya,65.58,-7.33,81.0,0.0,5.46
116,Khalkhal,37.62,35.33,90.0,90.0,9.17
117,Carnarvon,-30.97,80.69,6.0,83.0,23.09
118,Benton Harbor,42.12,40.57,81.0,90.0,10.29
119,Bay Roberts,47.58,40.32,51.0,90.0,8.05
120,Port Alfred,-33.59,73.0,79.0,98.0,1.99
121,Alihe,50.57,37.13,31.0,0.0,7.34
122,Nemuro,43.32,35.69,78.0,82.0,14.9
123,Jalingo,10.21,104.81,7.0,54.0,2.48
124,Grand Gaube,-20.01,80.78,69.0,40.0,4.7
125,Sretensk,52.24,28.67,47.0,45.0,15.99
126,Rio Gallegos,-51.62,46.4,81.0,0.0,18.34
127,Ribeira Grande,38.52,62.6,100.0,75.0,9.17
128,Mackay,53.65,37.42,93.0,40.0,3.36
129,Nanakuli,21.39,71.94,82.0,75.0,3.36
130,Fortuna,38.18,57.15,93.0,75.0,2.24
131,Salalah,17.01,86.0,66.0,40.0,12.75
132,Lata,30.78,29.75,98.0,98.0,0.4
133,Westport,53.8,61.65,48.0,0.0,11.41
135,Gawler,-34.6,76.86,29.0,0.0,10.29
136,Ekuvukeni,-28.47,81.23,32.0,25.0,4.52
137,Guamuchil,25.47,78.71,29.0,85.0,1.14
138,Namatanai,-3.66,76.37,88.0,94.0,3.38
139,Busselton,-33.64,44.98,97.0,95.0,30.02
140,Les Trois-Ilets,14.54,81.19,65.0,75.0,18.34
141,Port Shepstone,-30.74,73.49,85.0,0.0,4.81
142,Broken Hill,-31.97,71.6,30.0,42.0,8.05
143,Richards Bay,-28.77,79.43,78.0,0.0,24.38
144,Wyszkow,52.59,68.99,24.0,0.0,10.29
145,Altamont,49.4,45.52,70.0,1.0,6.93
146,Fairbanks,64.84,27.03,86.0,90.0,3.36
147,Dikson,73.51,-0.13,94.0,91.0,3.02
148,Hithadhoo,-0.6,85.19,79.0,100.0,13.69
149,Tanout,14.97,100.85,4.0,0.0,8.93
150,Hai Duong,20.94,85.14,89.0,0.0,6.93
151,Sandakan,5.84,82.08,83.0,75.0,4.7
152,Ust-Tsilma,65.44,35.33,95.0,100.0,5.75
153,Luorong,24.41,77.99,87.0,3.0,4.23
